# CSV

akta-040001-pagg-1,10.238.120.3,ios xr
akta-040033-csg-1,10.238.121.1,ios
akta-040012-csg-1,10.238.121.12,ios
akta-040071-csg-1,10.238.121.13,ios
akta-040067-csg-1,10.238.121.14,ios
akta-040020-csg-1,10.238.121.20,ios
akta-040008-csg-1,10.238.121.22,ios
akta-040025-csg-1,10.238.121.28,ios
akta-040009-csg-1,10.238.121.40,ios
akta-040082-csg-1,10.238.121.41,ios
akta-043001-pagg-1,10.238.120.1,ios xr
zhet.akta-043001-csg-1,10.238.32.46,ios
akta-043002-csg-1,10.238.121.2,ios
# akta-043006-csg-1,10.238.121.6,ios
bein.akta-043001-csg-1,10.238.121.5,ios
akta-043044-csg-1,10.238.121.7,ios
akta-043037-csg-1,10.238.121.8,ios
mang.akta-043039-csg-1,10.238.121.9,ios
akta-043093-csg-1,10.238.121.11,ios
akta-043019-csg-1,10.238.121.19,ios
akta-043034-csg-1,10.238.121.24,ios
akta-043069-csg-1,10.238.121.25,ios
akta-043038-csg-1,10.238.121.27,ios
shet.akta-043008-csg-1,10.238.121.30,ios
akta-043032-csg-1,10.238.121.32,ios
aksh.akta-043002-csg-1,10.238.121.35,ios
kurk.akta-043016-csg-1,10.238.121.36,ios
akta-043005-csg-1,10.238.121.39,ios
akta-043001-pagg-2,10.238.120.5,ios xr
akta-043022-csg-1,10.238.121.3,ios
akta-043070-csg-1,10.238.121.10,ios
akta-043036-csg-1,10.238.121.34,ios
fort.akta-043001-csg-1,10.238.121.38,ios
akta-053001-pagg-1,10.238.120.2,ios xr
akta-053061-csg-1,10.238.121.4,ios
akta-053021-csg-1,10.238.121.15,ios
akta-053001-csg-1,10.238.121.16,ios
akta-053029-csg-1,10.238.121.17,ios
akta-053043-csg-1,10.238.121.18,ios
akta-053015-csg-1,10.238.121.21,ios
akta-053092-csg-1,10.238.121.29,ios
akta-053068-csg-1,10.238.121.33,ios
akta-053199-csg-1,10.238.121.37,ios
zhan-003001-pagg-1,10.238.120.4,ios xr
zhan-003028-csg-1,10.238.122.3,ios
zhan-003017-csg-1,10.238.120.135,ios
zhan-003026-csg-1,10.238.122.4,ios

